produto_id,codigo_barras,descricao,preco,preco_promocional,preco_original,disponivel,em_oferta,unidade_sigla,imagem,sku,codigo_erp,classificacao_mercadologica_id
4408,7896292309005,Molho Predilecta 300g Xadrez,6.59,,6.59,True,False,UN,8fc11066-5f18-4066-9228-64e270e84b4c.jpg,FF-01138,126032,156
4404,7896292360228,Doce Goiabada Predilecta 230g,13.99,,13.99,True,False,UN,fe2d8515-f33b-4b9b-8ae1-2c86a3fa9acf.jpg,FF-01134,126025,91
4407,7896292307544,Molho Predilecta 300g Yakissob,7.49,,7.49,True,False,UN,06ae4bf8-65a2-4f64-a0f1-ec112312a95b.jpg,FF-01137,126031,156
4410,126042,Mostarda Predilecta 180g Amare,4.99,,4.99,True,False,UN,cf1c5022-9fbf-4422-9e2e-76e707857343.jpg,FF-0113A,126042,64
4413,7896292312623,"Extrato Tomate Predilecta 1,02",13.99,,13.99,True,False,UN,5129e216-1146-4380-938c-c924c81211b1.jpg,FF-0113D,126056,37
4409,7896292309012,Molho Predilecta 300g Oriental,6.59,,6.59,True,False,UN,9a735dd5-e89c-4f0a-92b6-944c1308dbb1.jpg,FF-01139,126033,155
4412,7896292302693,"Maionese Predilecta 1,02kg Sac",15.90,,15.90,True,False,UN,1d5ebd81-fd35-4c23-b178-590d2e9f500c.jpg,FF-0113C,126055,145
4411,7896292300453,"Mostarda Predilecta 3,3kg Amar",32.90,,32.90,True,False,UN,515b5ec1-08a3-48ed-b019-dde732fd4b6c.jpg,FF-0113B,126054,64
4418,3000012606778,Maionese Predilecta 7g C/ 144,14.99,,14.99,True,False,UN,499770c6-1da1-4508-ba21-a7a57b204daf.jpg,FF-01142,126067,145
4415,7896292311817,Molho Madeira Predilecta 2kg B,22.99,,22.99,True,False,UN,24b8e0ca-155f-4d7e-af2e-33c94b8084d2.jpg,FF-0113F,126058,155
4416,3000012606501,Catchup Predilecta 7g C/144,14.99,,14.99,True,False,UN,c0285717-f65f-4a7a-bc27-65bb22a4d70d.jpg,FF-01140,126065,64
4414,7896292312616,"Molho Tomate Predilecta 1,020k",10.59,,10.59,True,False,UN,e4a6fe4f-a215-497b-8aad-36e4ab7a5258.jpg,FF-0113E,126057,37
4417,126066,Mostarda Predilecta 5g C/144 A,14.99,,14.99,True,False,UN,a2bc2dc7-057d-4af9-ab90-2a9ab04e0668.jpg,FF-01141,126066,64
4419,7894650937815,Desod. Pato 40g Cx Acoplado Ma,41.19,,41.19,True,False,UN,02f09e47-98a1-454a-a041-07125eaaa5ef.jpg,FF-01143,126069,88
4421,7898915949391,Cerv. Imperio 269ml Gold,3.49,,3.49,True,False,UN,ec37b81b-c78c-4fe0-b0cd-7d9785be99e3.jpg,FF-01145,126078,68
4420,7894650014288,Desod. Sanit. Pato Pedra 25g M,3.65,,3.65,True,False,UN,03419405-a639-44d1-a570-30b4eec87d42.jpg,FF-01144,126074,88
4423,7891035000065,Limp. Veja 500ml Sq. Banheiro,15.39,,15.39,True,False,UN,238df362-ed61-4761-8699-e9a0c3b9e735.jpg,FF-01147,126098,160
4424,7798051308055,Espumante Omnium 750ml Rose Br,39.90,,39.90,True,False,UN,ed7e7dbb-13e2-45b3-b15b-b415e83c0a41.jpg,FF-01148,126104,101
4428,7896094919129,Kit Adocante Zero Cal 80ml Ste,32.99,,32.99,True,False,UN,0b45b154-9f66-4f3e-8ada-9d3860f9df6e.jpg,FF-0114C,126120,22
4429,7896094912779,Kit Adocante Zero Cal 100ml Su,29.99,,29.99,True,False,UN,65bc36f1-545f-467a-8fda-9ab08d550118.jpg,FF-0114D,126121,22
4430,7891000304877,Bisc. Rech. Bono 57g Chocolate,2.89,,2.89,True,False,UN,bcd507a6-a036-4a58-80cb-2c924ac60d50.jpg,FF-0114E,126127,52
4437,7891000294376,Capsula Dolce Gusto 10cp 172g,29.99,,29.99,True,False,UN,a382bc2b-9228-4ba2-bcbd-6f36d6c29c28.jpg,FF-01155,126174,57
4441,7896512900043,Sabon. Granado 90g Enxofre,8.99,,8.99,True,False,UN,a2b7f2fc-80ce-41e7-a08e-0c4a319eb487.jpg,FF-01159,126186,193
4445,7896512939678,Sabon. Liq. Granado 300ml Glic,24.90,,24.90,True,False,UN,c66eaf84-68c4-422f-a229-6a9dbd9755af.jpg,FF-0115D,126190,193
4444,7896512947345,Sabon. Liq. Phebo 320ml Lima P,19.99,,19.99,True,False,UN,5e8804d7-56fa-4263-8882-54cba9e0969a.jpg,FF-0115C,126189,193
4443,7896512943750,Sabon. Liq. Phebo 320ml Odor R,19.99,,19.99,True,False,UN,ea57174a-3ab4-4b0e-a786-f06b7f992062.jpg,FF-0115B,126188,193
4456,7898928727313,Semente Girassol Ws 200g Cru,14.99,,14.99,True,False,UN,dfe8fe90-4370-44c5-a6cb-288b4de0a1a1.jpg,FF-01168,126229,119
4449,7896512945136,Sabon. Phebo 100g Cremoso Gera,5.99,,5.99,True,False,UN,dd9268e8-335c-4ed0-b79e-c1cf713154a9.jpg,FF-01161,126194,193
4455,7898928727276,Semente Chia Ws 200g,23.99,,23.99,True,False,UN,846da8d6-41b4-475c-bda7-02a58004da14.jpg,FF-01167,126227,119
4460,7896024760371,Bisc. Rech. Piraque 160g Limao,2.99,,2.99,True,False,UN,8921b042-3603-47f5-b190-dd3bd43fecd2.jpg,FF-0116C,126238,187
